Ref,Val,Package,PosX,PosY,Rot,Side
"S25","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",71.175000,-109.500000,90.000000,top
"S26","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",78.475000,-109.500000,90.000000,top
"S27","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",85.775000,-109.500000,90.000000,top
"S28","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",93.075000,-109.500000,90.000000,top
"S29","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",100.375000,-109.500000,90.000000,top
"S30","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",107.675000,-109.500000,90.000000,top
"S31","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",114.975000,-109.500000,90.000000,top
"S32","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",122.275000,-109.500000,90.000000,top
"S33","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",129.575000,-109.500000,90.000000,top
"S34","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",137.787500,-109.500000,90.000000,top
"S35","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",60.225000,-116.800000,270.000000,top
"S36","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",69.350000,-116.800000,270.000000,top
"S37","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",78.475000,-116.800000,270.000000,top
"S38","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",98.550000,-116.800000,90.000000,top
"S39","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",118.625000,-116.800000,90.000000,top
"S40","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",127.750000,-116.800000,90.000000,top
"S41","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",136.875000,-116.800000,90.000000,top
