Designator,Ref,Package,Mid X,Mid Y,Rotation,Layer
S32,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,122.275,-109.5,90,top
S33,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,129.575,-109.5,90,top
S34,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,137.7875,-109.5,90,top
S35,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,60.225,-116.8,270,top
S36,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,69.35,-116.8,270,top
S37,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,78.475,-116.8,270,top
S38,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,98.55,-116.8,90,top
S39,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,118.625,-116.8,90,top
S40,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,127.75,-116.8,90,top
S41,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,136.875,-116.8,90,top
